2theta,Intensity
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,1.0
11.3,6.0
11.4,16.0
11.5,18.0
11.6,8.0
11.7,2.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.6,0.0
14.7,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.1,0.0
15.2,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.6,0.0
15.7,0.0
15.8,0.0
15.9,3.0
16.0,11.0
16.1,16.0
16.2,14.0
16.3,18.0
16.4,21.0
16.5,11.0
16.6,2.0
16.7,0.0
16.8,0.0
16.9,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,0.0
17.4,0.0
17.5,0.0
17.6,0.0
17.7,2.0
17.8,39.0
17.9,379.0
18.0,1772.0
18.1,3918.0
18.2,3911.0
18.3,1688.0
18.4,307.0
18.5,23.0
18.6,0.0
18.7,0.0
18.8,0.0
18.9,0.0
19.0,0.0
19.1,0.0
19.2,0.0
19.3,0.0
19.4,0.0
19.5,0.0
19.6,0.0
19.7,0.0
19.8,0.0
19.9,0.0
20.0,0.0
20.1,0.0
20.2,0.0
20.3,0.0
20.4,0.0
20.5,0.0
20.6,0.0
20.7,0.0
20.8,0.0
20.9,0.0
21.0,0.0
21.1,0.0
21.2,0.0
21.3,1.0
21.4,6.0
21.5,12.0
21.6,10.0
21.7,3.0
21.8,0.0
21.9,0.0
22.0,0.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.0
22.5,0.0
22.6,0.0
22.7,9.0
22.8,128.0
22.9,738.0
23.0,1693.0
23.1,1536.0
23.2,552.0
23.3,79.0
23.4,4.0
23.5,0.0
23.6,0.0
23.7,0.0
23.8,0.0
23.9,0.0
24.0,1.0
24.1,19.0
24.2,130.0
24.3,377.0
24.4,575.0
24.5,692.0
24.6,570.0
24.7,218.0
24.8,34.0
24.9,2.0
25.0,0.0
25.1,0.0
25.2,0.0
25.3,14.0
25.4,185.0
25.5,948.0
25.6,2102.0
25.7,2255.0
25.8,1553.0
25.9,1647.0
26.0,1947.0
26.1,1068.0
26.2,232.0
26.3,20.0
26.4,0.0
26.5,0.0
26.6,0.0
26.7,0.0
26.8,0.0
26.9,0.0
27.0,0.0
27.1,0.0
27.2,0.0
27.3,0.0
27.4,0.0
27.5,0.0
27.6,0.0
27.7,0.0
27.8,0.0
27.9,0.0
28.0,0.0
28.1,0.0
28.2,0.0
28.3,0.0
28.4,0.0
28.5,0.0
28.6,0.0
28.7,0.0
28.8,0.0
28.9,0.0
29.0,0.0
29.1,8.0
29.2,197.0
29.3,1484.0
29.4,5022.0
29.5,7116.0
29.6,4030.0
29.7,897.0
29.8,79.0
29.9,0.0
30.0,0.0
30.1,0.0
30.2,0.0
30.3,0.0
30.4,0.0
30.5,0.0
30.6,0.0
30.7,0.0
30.8,0.0
30.9,0.0
31.0,0.0
31.1,0.0
31.2,0.0
31.3,82.0
31.4,787.0
31.5,2866.0
31.6,4009.0
31.7,2704.0
31.8,2943.0
31.9,3776.0
32.0,2088.0
32.1,440.0
32.2,39.0
32.3,58.0
32.4,279.0
32.5,506.0
32.6,345.0
32.7,89.0
32.8,14.0
32.9,69.0
33.0,320.0
33.1,560.0
33.2,368.0
33.3,96.0
33.4,61.0
33.5,182.0
33.6,237.0
33.7,116.0
33.8,22.0
33.9,19.0
34.0,95.0
34.1,190.0
34.2,143.0
34.3,40.0
34.4,4.0
34.5,8.0
34.6,70.0
34.7,230.0
34.8,286.0
34.9,135.0
35.0,25.0
35.1,2.0
35.2,0.0
35.3,0.0
35.4,0.0
35.5,0.0
35.6,0.0
35.7,0.0
35.8,0.0
35.9,0.0
36.0,0.0
36.1,0.0
36.2,0.0
36.3,3.0
36.4,41.0
36.5,222.0
36.6,587.0
36.7,1212.0
36.8,1733.0
36.9,1422.0
37.0,1074.0
37.1,623.0
37.2,159.0
37.3,30.0
37.4,59.0
37.5,88.0
37.6,48.0
37.7,11.0
37.8,18.0
37.9,94.0
38.0,183.0
38.1,132.0
38.2,57.0
38.3,145.0
38.4,330.0
38.5,287.0
38.6,108.0
38.7,67.0
38.8,205.0
38.9,393.0
39.0,287.0
39.1,76.0
39.2,7.0
39.3,2.0
39.4,17.0
39.5,65.0
39.6,90.0
39.7,45.0
39.8,8.0
39.9,1.0
40.0,0.0
40.1,0.0
40.2,2.0
40.3,10.0
40.4,19.0
40.5,16.0
40.6,7.0
40.7,2.0
40.8,0.0
40.9,1.0
41.0,14.0
41.1,85.0
41.2,233.0
41.3,318.0
41.4,373.0
41.5,441.0
41.6,291.0
41.7,163.0
41.8,240.0
41.9,213.0
42.0,71.0
42.1,8.0
42.2,0.0
42.3,3.0
42.4,28.0
42.5,87.0
42.6,100.0
42.7,41.0
42.8,6.0
42.9,0.0
43.0,0.0
43.1,0.0
43.2,0.0
43.3,0.0
43.4,0.0
43.5,0.0
43.6,20.0
43.7,186.0
43.8,615.0
43.9,730.0
44.0,310.0
44.1,49.0
44.2,28.0
44.3,110.0
44.4,172.0
44.5,96.0
44.6,19.0
44.7,1.0
44.8,0.0
44.9,1.0
45.0,1.0
45.1,30.0
45.2,314.0
45.3,1212.0
45.4,1823.0
45.5,1737.0
45.6,1793.0
45.7,1055.0
45.8,349.0
45.9,390.0
46.0,408.0
46.1,159.0
46.2,22.0
46.3,2.0
46.4,11.0
46.5,72.0
46.6,165.0
46.7,133.0
46.8,38.0
46.9,5.0
47.0,4.0
47.1,6.0
47.2,3.0
47.3,1.0
47.4,0.0
47.5,4.0
47.6,43.0
47.7,165.0
47.8,229.0
47.9,117.0
48.0,26.0
48.1,30.0
48.2,229.0
48.3,773.0
48.4,1048.0
48.5,564.0
48.6,160.0
48.7,334.0
48.8,830.0
48.9,751.0
49.0,242.0
49.1,28.0
49.2,0.0
49.3,0.0
49.4,5.0
49.5,43.0
49.6,130.0
49.7,169.0
49.8,235.0
49.9,350.0
50.0,224.0
50.1,78.0
50.2,195.0
50.3,507.0
50.4,581.0
50.5,508.0
50.6,619.0
50.7,492.0
50.8,230.0
50.9,149.0
51.0,154.0
51.1,132.0
51.2,83.0
51.3,90.0
51.4,65.0
51.5,21.0
51.6,8.0
51.7,4.0
51.8,5.0
51.9,71.0
52.0,429.0
52.1,906.0
52.2,670.0
52.3,249.0
52.4,541.0
52.5,1262.0
52.6,1153.0
52.7,492.0
52.8,276.0
52.9,293.0
53.0,246.0
53.1,517.0
53.2,919.0
53.3,817.0
53.4,425.0
53.5,192.0
53.6,158.0
53.7,152.0
53.8,193.0
53.9,412.0
54.0,736.0
54.1,984.0
54.2,1074.0
54.3,602.0
54.4,127.0
54.5,9.0
54.6,1.0
54.7,7.0
54.8,32.0
54.9,51.0
55.0,28.0
55.1,5.0
55.2,0.0
55.3,0.0
55.4,0.0
55.5,0.0
55.6,0.0
55.7,0.0
55.8,0.0
55.9,0.0
56.0,1.0
56.1,3.0
56.2,11.0
56.3,80.0
56.4,320.0
56.5,549.0
56.6,428.0
56.7,201.0
56.8,239.0
56.9,402.0
57.0,391.0
57.1,362.0
57.2,366.0
57.3,459.0
57.4,393.0
57.5,203.0
57.6,77.0
57.7,16.0
57.8,9.0
57.9,11.0
58.0,5.0
58.1,1.0
58.2,0.0
58.3,0.0
58.4,0.0
58.5,0.0
58.6,0.0
58.7,3.0
58.8,39.0
58.9,165.0
59.0,249.0
59.1,180.0
59.2,162.0
59.3,157.0
59.4,82.0
59.5,24.0
59.6,11.0
59.7,25.0
59.8,72.0
59.9,86.0
60.0,39.0
